,Rank,Channel Info,Influence Score,Followers,Avg. Likes,Posts,60-Day Eng Rate,New Post Avg. Likes,Total Likes,Country Or Region
146,147,"
ranveersingh",85.0,41400000,986900,41400000,0.016,41400000,41400000,Switzerland
147,148,"
marinaruybarbosa",81.0,41100000,582500,41100000,0.002,41100000,41100000,Brazil
148,149,"
jenniferaniston",85.0,40800000,4300000,40800000,0.024,40800000,40800000,
149,150,"
ruben_onsu",75.0,40700000,135800,40700000,0.001,40700000,40700000,Indonesia
150,151,"
liverpoolfc",75.0,40600000,339700,40600000,0.005,40600000,40600000,United Kingdom
151,152,"
teddysphotos",80.0,40600000,710700,40600000,0.005,40600000,40600000,United States
152,153,"
princessyahrini",81.0,40500000,118600,40500000,0.004,40500000,40500000,Indonesia
153,154,"
andresiniesta8",85.0,40300000,250800,40300000,0.004,40300000,40300000,Spain
154,155,"
addisonraee",85.0,39800000,3100000,39800000,0.022,39800000,39800000,
155,156,"
natashawilona12",84.0,39700000,483600,39700000,0.005,39700000,39700000,
156,157,"
mahi7781",58.0,39500000,4099999,39500000,0.002,39500000,39500000,
157,158,"
chrissyteigen",79.0,39400000,623100,39400000,0.004,39400000,39400000,United States
158,159,"
worldstar",78.0,39200000,157400,39200000,0.002,39200000,39200000,United States
159,160,"
georginagio",74.0,39200000,2200000,39200000,0.086,39200000,39200000,
160,161,"
wizkhalifa",80.0,39100000,398700,39100000,0.003,39100000,39100000,United States
161,162,"
prattprattpratt",84.0,39000000,813500,39000000,0.01,39000000,39000000,
162,163,anushkasen0408,85.0,38900000,687300,38900000,0.013,38900000,38900000,
163,164,"
hm",83.0,38500000,86400,38500000,0.0,38500000,38500000,Sweden
164,165,"
marvelstudios",83.0,38400000,594200,38400000,0.016,38400000,38400000,
165,166,"
rkive",83.0,38400000,10600000,38400000,0.171,38400000,38400000,
166,167,"
parineetichopra",84.0,38300000,504800,38300000,0.011,38300000,38300000,
167,168,"
wesleysafadao",80.0,37800000,250900,37800000,0.002,37800000,37800000,
168,169,"
laudyacynthiabella",76.0,37300000,154600,37300000,0.001,37300000,37300000,Indonesia
169,170,"
gisel_la",85.0,36800000,149100,36800000,0.001,36800000,36800000,
170,171,"
antogriezmann",83.0,36700000,1100000,36700000,0.005,36700000,36700000,France
171,172,"
eminem",84.0,36600000,988400,36600000,0.011,36600000,36600000,United States
172,173,"
mercedesbenz",77.0,36200000,197900,36200000,0.002,36200000,36200000,British Virgin Islands
173,174,"
sachintendulkar",76.0,36100000,800400,36100000,0.02,36100000,36100000,
174,175,"
nattinatasha",47.0,36100000,513200,36100000,0.006,36100000,36100000,Czech Republic
175,176,"
kimberly.loaiza",78.0,36000000,2600000,36000000,0.043,36000000,36000000,Mexico
176,177,"
shahidkapoor",82.0,36000000,1300000,36000000,0.025,36000000,36000000,
177,178,"
tigerjackieshroff",83.0,36000000,1000000,36000000,0.01,36000000,36000000,India
178,179,"
blakelively",80.0,35900000,3100000,35900000,0.04,35900000,35900000,United States
179,180,"
colesprouse",81.0,35800000,2200000,35800000,0.023,35800000,35800000,
180,181,"
simonemendes",72.0,35700000,419700,35700000,0.006,35700000,35700000,Brazil
181,182,"
toni.krs",83.0,35600000,597800,35600000,0.012,35600000,35600000,
182,183,"
lunamaya",83.0,35400000,145400,35400000,0.002,35400000,35400000,
183,184,"
barackobama",81.0,35400000,1100000,35400000,0.012,35400000,35400000,United States
184,185,"
ivetesangalo",84.0,35100000,226400,35100000,0.004,35100000,35100000,Brazil
185,186,"
paollaoliveirareal",84.0,34900000,352000,34900000,0.004,34900000,34900000,
186,187,"
dannapaola",68.0,34800000,1500000,34800000,0.035,34800000,34800000,Mexico
187,188,"
disney",77.0,34700000,185200,34700000,0.004,34700000,34700000,United States
188,189,"
shaymitchell",83.0,34500000,715400,34500000,0.006,34500000,34500000,United States
189,190,"
adidasoriginals",83.0,34100000,136200,34100000,0.002,34100000,34100000,
190,191,"
zidane",41.0,34000000,1000000,34000000,0.017,34000000,34000000,France
191,192,"
bmw",79.0,33800000,229000,33800000,0.002,33800000,33800000,Germany
192,193,"
iambeckyg",71.0,33800000,623500,33800000,0.012,33800000,33800000,United States
193,194,"
rashmika_mandanna",84.0,33800000,2300000,33800000,0.044,33800000,33800000,
194,195,"
sonamkapoor",75.0,33700000,265300,33700000,0.008,33700000,33700000,India
195,196,"
khabib_nurmagomedov",63.0,33600000,680600,33600000,0.009,33600000,33600000,Russia
196,197,"
danbilzerian",84.0,33600000,2200000,33600000,0.064,33600000,33600000,Canada
197,198,"
raisa6690",80.0,33600000,227800,33600000,0.003,33600000,33600000,Indonesia
198,199,"
luansantana",79.0,33500000,193300,33500000,0.003,33500000,33500000,Brazil
199,200,"
nancyajram",81.0,33400000,382500,33400000,0.004,33400000,33400000,France
